Texte_cloze,Extra,Source,Tags
Le traitement est dans l’immense majorité des cas un traitement orthopédique avec contention par anneaux en 8 pour une durée de {{c1::3 à 4 semaines}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::BoisVert Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
Le traitement est dans la grande majorité des cas orthopédique par contention par des anneaux en 8 associée à un bandage par élastoplaste en pont sur l’épaule ( abaissement du 1/4 externe) pour une durée de {{c1::3 à 4 semaines}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::BoisVert Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
"En cas de lésion à déplacement antérieur, le traitement consiste le plus souvent en une immobilisation du membre supérieur par une simple écharpe pour une durée de {{c1::3 semaines}}.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::BoisVert Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
"Lésion de l’{{c1::artère et}}/ou de la veine sous clavière,",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule SurgicalManagement Topic::Clavicule Topic::FractureOuverte Traumatology UpperExtremity
"Lésions du plexus brachial, du {{c1::nerf circonflexe}}, du radial",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
"À partir de {{c1::20°}} d'angulation, la réduction devient nécessaire et sera associée à une immobilisation plâtrée, coude au corps, si la fracture est stable.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
La technique chirurgicale utilise deux broches en acier ou en titane dont le diamètre est égale à {{c1::40%}} du diamètre médullaire.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning GrowthPlate Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Epaule SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
Les fractures métaphysaires dépassent largement les fractures épiphysaires avec un pourcentage de {{c1::77%}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning GrowthPlate Mechanism::Chute Mechanism::Sport Orthopedics Pediatrics Region::Epaule SalterHarris Topic::DecollementEpiphysaire Traumatology UpperExtremity
"Une immobilisation coude au corps et sans réduction, par un bandage de type DUJARIER, est suffisante pendant {{c1::3 semaines}}.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute Mechanism::Sport NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Traumatology UpperExtremity
"À partir de {{c1::20°}} d'angulation, la réduction devient nécessaire et sera associée à une immobilisation plâtrée, coude au corps, si la fracture est stable.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute Mechanism::Sport NonOperativeManagement Orthopedics Pediatrics Region::Epaule SurgicalManagement Traumatology UpperExtremity
Elles représentent {{c1::60%}} des fractures du coude de l'enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Dès lors {{c1::95%}} des fractures supra-condyliennes se font avec un mécanisme en extension.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Schéma illustrant la classification de {{c1::LAGRANGE et RIGAULT}} des fractures supra-condyliennes,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
La méthode de {{c1::BLOUNT}} répond à ce critère.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Un œdème important est une contre-indication à {{c1::la contention en flexion car la peau peut se plicaturer et faire compression sur}} le paquet vasculo-nerveux.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Supracondylienne Traumatology UpperExtremity
Une fracture avec une lésion vasculaire représente une contre-indication {{c1::certaine}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Supracondylienne Traumatology UpperExtremity
Schéma illustrant la classification de {{c1::LAGRANGE et RIGAULT}} des fractures supra-condyliennes,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Imaging Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
"Pour les fractures de stade I non déplacées, la méthode de {{c1::JUDET}} ne présente pas d’intérêt.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
"Quand ces conditions ne sont pas remplies, la méthode de {{c1::JUDET}} est justifiée.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Une alternative est l’utilisation de deux broches de Kirschner croisées en évitant consciencieusement de blesser le {{c1::nerf ulnaire}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Soit un léger déficit de la mobilité inférieur à {{c1::10°}} en flexion et/ou en extension,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Soit un défaut d'axe inférieur à {{c1::10°}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Soit d'un déficit de la mobilité supérieur à {{c1::20°}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Soit un défaut d'axe supérieur à {{c1::10°}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Soit un déficit de la mobilité supérieure à {{c1::50°}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Orthopedics Pediatrics Region::Coude Topic::Supracondylienne Traumatology UpperExtremity
Schéma illustrant la classification de {{c1::LAGRANGE et RIGAULT}} des fractures supra-condyliennes,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Les pouls doivent être palpés afin d’éliminer une lésion de l’{{c1::artère humérale}} .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Schéma du mécanisme de compression de l'{{c1::artère humérale dans}} une fracture supra-condylienne en extension,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
{{c1::L’examen nerveux doit être effectué à la recherche de lésion du nerf radial et médian qui}} sont fréquentes dans les fractures avec mécanisme en extension .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
"Sensibilité de la tabatière anatomique, zone sensitive privilégiée du {{c1::nerf radial}}",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Schéma du mécanisme de lésion du {{c1::nerf médian dans}} une fracture supra-condylienne en extension,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Schéma du mécanisme de lésion du {{c1::nerf radial dans}} une fracture supra-condylienne en extension,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::FractureOuverte Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
"Les fractures supra-condyliennes en flexion représentent {{c1::5%}} des fractures supra-condyliennes, et sont classées comme suit selon LAGRANGE et RIGAULT",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Le {{c1::nerf ulnaire}} est sujet à une lésion si le mécanisme est en flexion .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
"Effectuer l’adduction du pouce (signe de {{c1::Froment}}),",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
Schéma du mécanisme de lésion du {{c1::nerf cubital dans}} une fracture supra-condylienne en flexion,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::Neurovasculaire Topic::Supracondylienne Traumatology UpperExtremity
L’immobilisation se fait pendant {{c1::3 semaines}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::Supracondylienne Traumatology UpperExtremity
"Ce cubitus valgus augmente avec l’âge, surtout lors de la poussée pubertaire, il est en moyenne de {{c1::8°}}chez le garçon et de 11° chez la fille.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Orthopedics Pediatrics Region::Coude Topic::CalVicieux Topic::Supracondylienne Traumatology UpperExtremity
De profil on mesure l'anté-flexion épiphysaire inclinaison entre l'axe huméral et la ligne perpendiculaire au cartilage de croissance) qui est de {{c1::40°}} .,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications GrowthPlate Orthopedics Pediatrics Region::Coude SalterHarris Topic::CalVicieux Topic::CondyleLateral Topic::DecollementEpiphysaire Topic::Supracondylienne Traumatology UpperExtremity
Les fractures sus et inter-condyliennes représentent {{c1::2%}} des fractures du coude de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications GrowthPlate Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
{{c1::Le traitement des fractures sus et inter-condyliennes}} est le plus souvent chirurgical par broches afin d’assurer une bonne stabilité du foyer fracturaire.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications GrowthPlate Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris SurgicalManagement Topic::DecollementEpiphysaire Traumatology UpperExtremity
Les fractures du condyle latéral représentent {{c1::20%}} des fractures du coudes de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris Topic::CondyleLateral Topic::DecollementEpiphysaire Traumatology UpperExtremity
"{{c1::- Le déplacement en varus}} est plus rare, simple bâillement avec fracture-séparation incomplète métaphysaire externe de l’humérus, sans solution de continuité au niveau articulaire.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning GrowthPlate Mechanism::Chute Orthopedics Pediatrics Region::Coude SalterHarris Topic::CondyleLateral Topic::DecollementEpiphysaire Traumatology UpperExtremity
Les fractures non déplacées de stade I peuvent être être immobilisées d'emblée par un plâtre brachio-anté-brachio-palmaire pendant {{c1::4 semaines}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::CondyleLateral Topic::Neurovasculaire Traumatology UpperExtremity
Surveillance et dépistage du syndrome de {{c1::Volkmann}}.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Complications Mechanism::Chute NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::CondyleLateral Topic::Neurovasculaire Traumatology UpperExtremity
Les fractures du condyle interne représentent {{c1::2%}} des fractures du coude de l’enfant.,,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Complications Imaging Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Coude Topic::EpicondyleMedial Traumatology UpperExtremity
Stade I de la classification de {{c1::BENSAHEL}},,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::EpicondyleMedial Traumatology UpperExtremity
"Son traitement est orthopédique par une immobilisation brachio-anté-brachio-palmaire, coude fléchit à {{c1::90°}}.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning Mechanism::AVP NonOperativeManagement Orthopedics Pediatrics Region::Coude SurgicalManagement Topic::EpicondyleMedial Traumatology UpperExtremity
"En effet, elles ne représentent que {{c1::5%}} des fractures du coude.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Traumatology UpperExtremity
"Elles sont, dans {{c1::50%}} des cas, associées à d’autres lésions.",,Thèse N°55-18 (FMP Marrakech) — Fractures du membre supérieur de l'enfant,BoardReview CaseBasedLearning ClinicalReasoning Imaging Mechanism::Chute Orthopedics Pediatrics Region::Coude Topic::ColRadius Traumatology UpperExtremity
